city_name,Temperature,Humidity,Cloudiness,Wind_Speed,longitude,latitude
ternova,-3.52,92,90,5,36.68,50.18
jamestown,18.81,80,80,4.91,138.6,-33.21
pitimbu,24,83,0,2.6,-34.81,-7.47
vaini,19.51,63,0,3.1,74.49,15.34
mocuba,22.29,100,92,1.46,36.99,-16.84
bam,-1.62,66,0,1.16,58.36,29.11
butaritari,28.59,100,56,3.36,172.79,3.07
punta arenas,6,70,0,6.7,-70.91,-53.16
horadiz,0,77,0,3.1,47.33,39.45
shihezi,-16.22,91,68,1.46,86.03,44.3
asyut,4.84,82,0,1.26,31.19,27.18
mataura,23.39,60,0,2.71,168.86,-46.19
carnarvon,8.24,55,0,1.31,22.13,-30.97
qaanaaq,-25.92,85,0,5.36,-69.36,77.48
yuzhou,13,16,0,9,113.47,34.16
bluff,24.34,91,88,2.56,149.07,-23.58
rikitea,26.04,100,32,2.56,-134.97,-23.12
guerrero negro,15.36,90,88,2.96,-114.04,27.97
narasannapeta,17.11,92,100,3.76,84.04,18.42
aykhal,-25.42,58,48,1.86,111.51,65.95
fostoria,2.41,69,1,5.1,-95.16,43.24
san onofre,26.94,82,0,3.51,-75.52,9.74
dikson,-6.54,95,92,4.36,80.55,73.51
mys shmidta,,,,,,
pencaitland,2,100,40,4.6,-2.89,55.91
ribeira grande,16.96,99,76,8.06,-28.7,38.52
rorvik,-1.69,100,0,7.91,11.24,64.86
kegayli,,,,,,
jasper,8.47,100,88,2.41,-87.28,33.83
bolungarvik,,,,,,
vaitupu,,,,,,
chuy,15.89,94,0,4.31,-53.46,-33.69
cherskiy,-37.39,66,20,1.06,161.3,68.75
new norfolk,26,57,20,6.2,147.06,-42.78
upernavik,-9.39,100,20,6.91,-56.15,72.79
belushya guba,,,,,,
atuona,27.61,99,8,7.81,-139.03,-9.8
kibala,19,55,0,1.31,18.35,9.11
luganville,28.04,100,0,2.96,167.18,-15.51
albany,0.57,64,75,4.1,-73.75,42.65
naze,25.54,74,0,3.86,7.07,5.43
mar del plata,19.84,43,20,13.21,-67.52,-46.43
kahului,23.69,68,40,9.8,-156.47,20.89
avarua,27,78,75,3.6,-159.78,-21.21
banda aceh,25.81,97,64,2.06,95.32,5.56
chicama,21,94,75,3.6,-79.15,-7.84
chokurdakh,-39.27,0,36,1.36,147.9,70.62
taolanaro,,,,,,
severo-kurilsk,-2.14,100,56,5.81,156.12,50.68
pangody,-15.92,83,64,1.71,74.49,65.85
inta,1.46,94,92,3.76,60.13,66.04
muros,9.57,100,75,1,-9.06,42.77
dudinka,-18.22,78,80,6.26,86.18,69.41
tautira,30,66,40,4.6,-149.15,-17.73
bathsheba,26,69,40,11.8,-59.52,13.22
serov,-16.12,75,56,1.36,60.57,59.61
hobart,26,57,20,6.2,147.33,-42.88
isfana,4,93,90,6,69.53,39.84
ciudad bolivar,25.84,61,0,5.41,-63.55,8.12
malkapur,12.44,77,0,1.76,76.2,20.89
solnechnyy,-19.69,75,64,1.61,136.64,50.72
isangel,26.19,99,32,7.56,169.27,-19.55
pisco,20,82,40,6.2,-76.2,-13.71
kaliua,17.46,99,92,1.16,31.79,-5.06
los llanos de aridane,18,77,0,5.1,-17.92,28.66
barentsburg,,,,,,
busselton,16.34,100,92,8.36,115.35,-33.64
tateyama,10,34,75,2.1,137.31,36.66
dharchula,-2.27,55,0,0.86,80.53,29.85
barrow,22.36,30,0,7.36,-60.23,-38.31
tumannyy,,,,,,
arraial do cabo,25.11,88,0,8.56,-42.02,-22.97
gadsden,8.84,93,90,1.5,-86.01,34.01
illoqqortoormiut,,,,,,
cape town,19,77,0,5.7,18.42,-33.93
fort saint james,-4.14,69,80,3.41,-124.25,54.43
koshekhabl,-1.44,100,92,4.06,40.5,44.9
sentyabrskiy,,,,,,
port alfred,19.74,100,80,0.36,26.89,-33.59
parabel,-7.32,93,80,1.31,81.5,58.71
yar-sale,-11.07,87,56,4.16,70.83,66.83
vagur,7.49,100,92,18.51,-6.81,61.47
chadiza,18.54,97,76,1.76,32.43,-14.06
petropavlovsk-kamchatskiy,-10,51,0,1,158.65,53.05
kapoeta,,,,,,
nikolskoye,-7,92,75,2,30.79,59.7
lebu,9,61,0,1.5,38.73,8.96
canutama,24.69,93,68,1.11,-64.38,-6.53
geraldton,0,63,20,3.6,-86.95,49.72
provideniya,-18,64,0,2,-173.23,64.42
nishihara,5,56,75,3.1,139.53,35.74
sorvag,,,,,,
ushuaia,4.73,93,75,9.3,-68.31,-54.81
hasaki,7,52,75,2.6,140.83,35.73
ekhabi,-18.87,100,12,1.51,142.97,53.51
nizhneyansk,,,,,,
puerto ayora,23.71,98,80,4.51,-90.35,-0.74
thompson,-3,86,90,5.7,-97.86,55.74
airai,28.56,70,12,1.21,125.41,-8.93
adrar,7,52,0,3.6,-0.29,27.87
priekule,0,87,20,4.1,21.6,56.45
rio brilhante,23.59,91,32,0.91,-54.54,-21.8
coxim,24.24,80,20,1.41,-54.75,-18.5
faanui,28.71,99,76,5.46,-151.75,-16.48
bac lieu,,,,,,
deputatskiy,-33.12,40,48,1.16,139.9,69.3
hermanus,10.69,95,0,1.86,19.24,-34.42
hambantota,25,100,20,2.1,81.12,6.12
kununurra,36,50,0,2.6,128.74,-15.77
aklavik,-23,69,20,3.6,-135.01,68.22
tiarei,30,66,40,4.6,-149.33,-17.53
touros,23,88,20,1.5,-35.46,-5.2
zhangye,-7.22,53,0,3.51,100.46,38.94
sao joao da barra,25.99,100,20,10.66,-41.05,-21.64
makasar,32,49,40,6.7,106.88,-6.28
lorengau,29.94,98,20,2.96,147.27,-2.02
tuatapere,17.34,78,0,2.66,167.69,-46.13
abai,3,86,75,2.1,68.95,41.35
westport,7.39,94,64,6.21,-9.52,53.8
wuwei,-6.67,38,0,1.71,102.64,37.93
namibe,22.09,100,88,4.11,12.15,-15.19
batemans bay,22.69,72,64,2.31,150.18,-35.71
medea,7,93,20,2.1,2.77,36.27
zachagansk,,,,,,
kapaa,25,44,20,7.7,-159.32,22.08
turukhansk,-21.67,60,64,3.11,87.96,65.8
krasnyy mayak,,,,,,
sao filipe,24.34,94,100,5.86,-24.5,14.9
sechura,22.61,76,32,5.21,-80.82,-5.56
doha,18.76,77,20,1.5,51.53,25.29
brigham city,-2.95,83,1,2.1,-112.02,41.51
norman wells,-28,75,5,1,-126.83,65.28
billings,4.4,32,40,2.6,-108.5,45.79
vostok,-7.07,64,0,2.26,135.83,46.45
grand gaube,27,65,40,7.2,57.66,-20.01
seoul,0.51,66,90,1.5,126.98,37.57
ciego de avila,24.31,93,20,2.21,-78.76,21.84
goure,16.71,54,0,2.36,10.27,13.98
georgetown,23,88,75,2.1,-58.16,6.8
hithadhoo,27.59,100,24,6.56,73.08,-0.6
saint george,9,93,90,1.21,22.34,39.45
castro,13,100,90,6.7,-73.76,-42.48
rehoboth,22.99,26,100,2.11,17.08,-23.31
ponta do sol,20.06,95,56,0.76,-46.0,-20.63
antsohihy,21.84,94,8,1.66,47.99,-14.88
north platte,-3.9,87,1,2.1,-100.77,41.12
bredasdorp,19,82,68,0.5,20.04,-34.53
kedrovyy,-8,78,40,3,91.82,56.17
jennings,9.25,86,40,1.5,-92.66,30.22
tucurui,23.29,98,64,1.06,-49.67,-3.77
elizabethtown,7.81,79,90,3.1,-76.6,40.15
sena madureira,23.14,97,12,0.96,-68.66,-9.07
nyrob,-7.82,91,80,1.86,56.73,60.74
sola,4.51,69,75,11.3,5.65,58.89
praia da vitoria,11,87,20,8.41,-27.07,38.73
kavieng,30.69,99,48,2.41,150.8,-2.57
monte cristi,,,,,,
saldanha,10.64,98,92,5.81,-6.55,41.42
saint anthony,-4.63,80,1,2.6,-111.68,43.97
port lincoln,19.21,89,48,4.81,135.86,-34.72
carutapera,23.59,100,88,0.71,-46.02,-1.2
tuktoyaktuk,-24,69,20,3.6,-133.03,69.44
oktyabrskoye,-10,85,90,3,85.44,56.73
loa janan,28.11,80,68,1.41,117.09,-0.58
nuuk,-5,92,0,4.1,-51.74,64.17
astana,-6,100,90,4,71.43,51.13
mayma,-14.44,56,76,1.16,85.9,52.0
lalupon,22.99,88,0,1.06,4.07,7.47
caraguatatuba,23,78,0,1,-45.41,-23.62
souillac,9,93,90,1.5,-0.6,45.6
honiara,28.59,85,56,1.31,159.96,-9.43
lerwick,6,75,92,21.1,-1.15,60.15
hargeysa,7.56,82,24,2.56,44.06,9.56
lafiagi,19.99,72,0,1.21,5.42,8.85
clyde river,-19,84,75,8.2,-68.59,70.47
cessnock,29,62,40,8.2,151.35,-32.83
dingle,28.64,76,24,6.26,122.67,11.0
bahia blanca,24.21,51,0,8.46,-62.27,-38.72
mildura,25,50,40,5.7,142.16,-34.18
passos,17.69,95,20,0.96,-46.61,-20.72
rungata,,,,,,
barra do bugres,24.34,89,12,1.26,-57.19,-15.07
kamiiso,5,60,75,2.1,140.65,41.82
san luis,24.54,24,0,6.16,-66.34,-33.3
saleaula,,,,,,
marcona,,,,,,
