city_name,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind_Speed
dikson,73.51,80.55,-6.54,95,92,4.36
torbay,47.66,-52.73,0,100,90,11.3
yellowknife,62.45,-114.38,-26,75,20,3.1
tarakan,3.3,117.63,30,74,40,1.5
atuona,-9.8,-139.03,27.61,99,8,7.81
yakovlevka,44.43,133.47,-0.19,63,64,1.61
kapaa,22.08,-159.32,24.4,48,75,6.2
belushya guba,,,,,,
buin,-33.73,-70.74,18,42,0,3.6
marrakesh,31.63,-7.99,10,76,0,1
avarua,-21.21,-159.78,27,83,75,3.6
ushuaia,-54.81,-68.31,4,69,75,10.3
taolanaro,,,,,,
hermanus,-34.42,19.24,10.69,95,0,1.86
rikitea,-23.12,-134.97,26.04,100,32,2.56
candolim,15.52,73.76,27.09,91,0,4.51
hilo,19.71,-155.08,23.3,71,75,3.1
hithadhoo,-0.6,73.08,27.59,100,24,6.56
sisimiut,66.94,-53.67,-21.57,100,64,0.96
arlit,18.74,7.39,11.49,59,0,4.21
ugoofaaru,5.67,73,26.94,100,8,0.91
barentsburg,,,,,,
port blair,11.67,92.75,28.61,99,56,8.76
kaberamaido,1.76,33.16,16.96,91,0,1.91
mount isa,-20.73,139.49,37,20,0,3.1
thompson,55.74,-97.86,-3,86,90,5.7
flin flon,54.77,-101.88,-2.64,78,8,6.66
auki,12.18,6.51,15.99,50,0,3.26
chapais,49.78,-74.86,-3,86,90,2.6
minab,27.15,57.07,16.88,88,24,2.31
sitka,37.17,-99.65,2.64,42,44,4.11
nanortalik,60.14,-45.24,-2.72,92,88,1.46
pangnirtung,66.15,-65.72,-17,77,20,1
georgetown,6.8,-58.16,24,88,75,2.1
aksha,50.28,113.29,-8.04,62,0,5.21
nyrob,60.74,56.73,-7.82,91,80,1.86
birjand,32.86,59.22,-1,42,0,3.1
esfahan,32.66,51.68,-5,73,0,2.1
albany,42.65,-73.75,1.05,66,1,2.1
busselton,-33.64,115.35,16.34,100,92,8.36
tiksi,71.64,128.87,-24.94,59,48,1.76
ozgon,,,,,,
marzuq,14.4,46.47,5.81,83,0,1.36
vaini,15.34,74.49,22,53,0,4.1
jamestown,-33.21,138.6,18.81,80,80,4.91
